Entity,Time,key,AlarmStatus
"RRL_RPOC_WL01_E",2020-01-30 00:00:00.000,"RRL_RPOC_WL01_E_RRL_RPOC_WL01_E_2020-01-30","Low Pump Efficiency"
"RRL_RPOC_WL01_E",2020-06-10 00:00:00.000,"RRL_RPOC_WL01_E_RRL_RPOC_WL01_E_2020-06-10","my saved card (95)"
"RRL_RPOC_WL04_C",2020-01-31 00:00:00.000,"RRL_RPOC_WL04_C_RRL_RPOC_WL04_C_2020-01-31","Low Pump Efficiency"
"RRL_RPOC_WL04_C",2020-04-20 00:00:00.000,"RRL_RPOC_WL04_C_RRL_RPOC_WL04_C_2020-04-20","High Rod Stress"
"RRL_RPOC_WL04_C",2020-10-06 00:00:00.000,"RRL_RPOC_WL04_C_RRL_RPOC_WL04_C_2020-10-06","my saved card (95)"
"GLO_WFKS_WL08_C",2020-03-24 00:00:00.000,"GLO_WFKS_WL08_C_GLO_WFKS_WL08_C_2020-03-24","Multi Points Injection"
"GLO_WFKS_WL08_C",2020-03-28 00:00:00.000,"GLO_WFKS_WL08_C_GLO_WFKS_WL08_C_2020-03-28","Qgi Equals To Maximum Qgi"
"GLO_WFKS_WL08_C",2025-07-29 00:00:00.000,"GLO_WFKS_WL08_C_GLO_WFKS_WL08_C_2025-07-29","High Difference Between Actual And Optimized Liquid Rate"
"RRL_RPOC_WL05_C",2020-04-21 00:00:00.000,"RRL_RPOC_WL05_C_RRL_RPOC_WL05_C_2020-04-21","Low Pump Efficiency"
"RRL_RPOC_WL05_C",2025-10-22 00:00:00.000,"RRL_RPOC_WL05_C_RRL_RPOC_WL05_C_2025-10-22","Pump Cycles Std Dev 15 Days"
"RRL_RPOC_WL06_C",2020-04-21 00:00:00.000,"RRL_RPOC_WL06_C_RRL_RPOC_WL06_C_2020-04-21","Low Pump Efficiency"
"RRL_RPOC_WL06_C",2020-10-06 00:00:00.000,"RRL_RPOC_WL06_C_RRL_RPOC_WL06_C_2020-10-06","Test (97)"
"RRL_RPOC_WL06_C",2025-10-21 00:00:00.000,"RRL_RPOC_WL06_C_RRL_RPOC_WL06_C_2025-10-21","Inferred Production Std Dev 7 Days"
"RRL_RPOC_WL06_C",2025-10-22 00:00:00.000,"RRL_RPOC_WL06_C_RRL_RPOC_WL06_C_2025-10-22","Inferred Production Std Dev 30 Days"
"GLO_WFKS_WL09_C",2020-05-12 00:00:00.000,"GLO_WFKS_WL09_C_GLO_WFKS_WL09_C_2020-05-12","Multi Points Injection"
"GLO_WFKS_WL09_C",2020-05-13 00:00:00.000,"GLO_WFKS_WL09_C_GLO_WFKS_WL09_C_2020-05-13","Derived Well Run Status: Stopped"
"GLO_WFKS_WL09_C",2022-11-08 00:00:00.000,"GLO_WFKS_WL09_C_GLO_WFKS_WL09_C_2022-11-08","Liquid Loading Critical Rate Alert"
"GLO_WFKS_WL09_C",2025-06-14 00:00:00.000,"GLO_WFKS_WL09_C_GLO_WFKS_WL09_C_2025-06-14","Failed To Set Optimized Qgi"
"GLO_WFKS_WL09_C",2025-10-04 00:00:00.000,"GLO_WFKS_WL09_C_GLO_WFKS_WL09_C_2025-10-04","High Difference Between Actual And Optimized Liquid Rate"
"GLC_WFKS_WL35_C",2020-05-13 00:00:00.000,"GLC_WFKS_WL35_C_GLC_WFKS_WL35_C_2020-05-13","Derived Well Run Status: Stopped"
"GLC_WFKS_WL35_C",2023-12-13 00:00:00.000,"GLC_WFKS_WL35_C_GLC_WFKS_WL35_C_2023-12-13","Failed To Set Optimized Qgi"
"ESP_WFKS_WL15_C",2020-06-10 00:00:00.000,"ESP_WFKS_WL15_C_ESP_WFKS_WL15_C_2020-06-10","Derived Well Run Status: Stopped"
"ESP_WFKS_WL15_C",2020-09-24 00:00:00.000,"ESP_WFKS_WL15_C_ESP_WFKS_WL15_C_2020-09-24","High Motor Amps"
"ESP_WFKS_WL15_C",2024-03-20 00:00:00.000,"ESP_WFKS_WL15_C_ESP_WFKS_WL15_C_2024-03-20","Low Flowing Differential Pressure"
"RRL_RPOC_WL10_E",2020-07-15 00:00:00.000,"RRL_RPOC_WL10_E_RRL_RPOC_WL10_E_2020-07-15","High Gearbox Torque"
"ESP_WFKS_WL18_C",2020-07-16 00:00:00.000,"ESP_WFKS_WL18_C_ESP_WFKS_WL18_C_2020-07-16","Derived Well Run Status: Stopped"
"ESP_WFKS_WL18_C",2024-03-20 00:00:00.000,"ESP_WFKS_WL18_C_ESP_WFKS_WL18_C_2024-03-20","Low Flowing Differential Pressure"
