,Entity,Time,key,AlarmStatus
0,181812_1816153_2312AB_5,2020-01-30 00:00:00.000,181812_1816153_2312AB_5_181812_1816153_2312AB_5_CACA-AB-DA,Low Pump Efficiency
1,181812_1816153_2312AB_5,2020-06-10 00:00:00.000,181812_1816153_2312AB_5_181812_1816153_2312AB_5_CACA-AG-BA,my saved card (95)
2,181812_1816153_2312AE_3,2020-01-31 00:00:00.000,181812_1816153_2312AE_3_181812_1816153_2312AE_3_CACA-AB-DB,Low Pump Efficiency
3,181812_1816153_2312AE_3,2020-04-20 00:00:00.000,181812_1816153_2312AE_3_181812_1816153_2312AE_3_CACA-AE-CA,High Rod Stress
4,181812_1816153_2312AE_3,2020-10-06 00:00:00.000,181812_1816153_2312AE_3_181812_1816153_2312AE_3_CACA-BA-AG,my saved card (95)
5,71215_2361119_2312AI_3,2020-03-24 00:00:00.000,71215_2361119_2312AI_3_71215_2361119_2312AI_3_CACA-AD-CE,Multi Points Injection
6,71215_2361119_2312AI_3,2020-03-28 00:00:00.000,71215_2361119_2312AI_3_71215_2361119_2312AI_3_CACA-AD-CI,Qgi Equals To Maximum Qgi
7,71215_2361119_2312AI_3,2025-07-29 00:00:00.000,71215_2361119_2312AI_3_71215_2361119_2312AI_3_CACF-AH-CJ,High Difference Between Actual And Optimized Liquid Rate
8,181812_1816153_2312AF_3,2020-04-21 00:00:00.000,181812_1816153_2312AF_3_181812_1816153_2312AF_3_CACA-AE-CB,Low Pump Efficiency
9,181812_1816153_2312AF_3,2025-10-22 00:00:00.000,181812_1816153_2312AF_3_181812_1816153_2312AF_3_CACF-BA-CC,Pump Cycles Std Dev 15 Days
10,181812_1816153_2312AG_3,2020-04-21 00:00:00.000,181812_1816153_2312AG_3_181812_1816153_2312AG_3_CACA-AE-CB,Low Pump Efficiency
11,181812_1816153_2312AG_3,2020-10-06 00:00:00.000,181812_1816153_2312AG_3_181812_1816153_2312AG_3_CACA-BA-AG,Test (97)
12,181812_1816153_2312AG_3,2025-10-21 00:00:00.000,181812_1816153_2312AG_3_181812_1816153_2312AG_3_CACF-BA-CB,Inferred Production Std Dev 7 Days
13,181812_1816153_2312AG_3,2025-10-22 00:00:00.000,181812_1816153_2312AG_3_181812_1816153_2312AG_3_CACF-BA-CC,Inferred Production Std Dev 30 Days
14,71215_2361119_2312AJ_3,2020-05-12 00:00:00.000,71215_2361119_2312AJ_3_71215_2361119_2312AJ_3_CACA-AF-BC,Multi Points Injection
15,71215_2361119_2312AJ_3,2020-05-13 00:00:00.000,71215_2361119_2312AJ_3_71215_2361119_2312AJ_3_CACA-AF-BD,Derived Well Run Status: Stopped
16,71215_2361119_2312AJ_3,2022-11-08 00:00:00.000,71215_2361119_2312AJ_3_71215_2361119_2312AJ_3_CACC-BB-AI,Liquid Loading Critical Rate Alert
17,71215_2361119_2312AJ_3,2025-06-14 00:00:00.000,71215_2361119_2312AJ_3_71215_2361119_2312AJ_3_CACF-AG-BE,Failed To Set Optimized Qgi
18,71215_2361119_2312AJ_3,2025-10-04 00:00:00.000,71215_2361119_2312AJ_3_71215_2361119_2312AJ_3_CACF-BA-AE,High Difference Between Actual And Optimized Liquid Rate
19,7123_2361119_2312DF_3,2020-05-13 00:00:00.000,7123_2361119_2312DF_3_7123_2361119_2312DF_3_CACA-AF-BD,Derived Well Run Status: Stopped
20,7123_2361119_2312DF_3,2023-12-13 00:00:00.000,7123_2361119_2312DF_3_7123_2361119_2312DF_3_CACD-BC-BD,Failed To Set Optimized Qgi
21,51916_2361119_2312BF_3,2020-06-10 00:00:00.000,51916_2361119_2312BF_3_51916_2361119_2312BF_3_CACA-AG-BA,Derived Well Run Status: Stopped
22,51916_2361119_2312BF_3,2020-09-24 00:00:00.000,51916_2361119_2312BF_3_51916_2361119_2312BF_3_CACA-AJ-CE,High Motor Amps
23,51916_2361119_2312BF_3,2024-03-20 00:00:00.000,51916_2361119_2312BF_3_51916_2361119_2312BF_3_CACE-AD-CA,Low Flowing Differential Pressure
24,181812_1816153_2312BA_5,2020-07-15 00:00:00.000,181812_1816153_2312BA_5_181812_1816153_2312BA_5_CACA-AH-BF,High Gearbox Torque
25,51916_2361119_2312BI_3,2020-07-16 00:00:00.000,51916_2361119_2312BI_3_51916_2361119_2312BI_3_CACA-AH-BG,Derived Well Run Status: Stopped
26,51916_2361119_2312BI_3,2024-03-20 00:00:00.000,51916_2361119_2312BI_3_51916_2361119_2312BI_3_CACE-AD-CA,Low Flowing Differential Pressure
27,16712_2361119_2312CG_5,2020-08-13 00:00:00.000,16712_2361119_2312CG_5_16712_2361119_2312CG_5_CACA-AI-BD,Short Cycle Time
28,16712_2361119_2312CG_5,2025-08-30 00:00:00.000,16712_2361119_2312CG_5_16712_2361119_2312CG_5_CACF-AI-DA,Low Gas Rate
29,181812_1221611_2312AH_3,2020-08-18 00:00:00.000,181812_1221611_2312AH_3_181812_1221611_2312AH_3_CACA-AI-BI,Gearbox Unbalance
30,181812_1221611_2312AH_3,2023-05-05 00:00:00.000,181812_1221611_2312AH_3_181812_1221611_2312AH_3_CACD-AF-AF,Rod String Unbalance
31,181812_1221611_2312AH_3,2024-12-17 00:00:00.000,181812_1221611_2312AH_3_181812_1221611_2312AH_3_CACE-BC-BH,severe Pump off (100)
